"CBSA Code",Geographic area,Legal/statistical area description,Population,,Population rank1,,"Land area in square miles
16220,"Casper, WY",Metropolitan Statistical Area,"75,450","66,533",364,363,"5,340.4",
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,"257,940","237,230",176,174,"2,008.8",
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,"231,891","210,275",191,187,"1,921.1",
16620,"Charleston, WV",Metropolitan Statistical Area,"304,284","309,635",154,147,"2,527.7",
16700,"Charleston-North Charleston-Summerville, SC",Metropolitan Statistical Area,"664,607","549,033",79,85,"2,588.2",
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Metropolitan Statistical Area,"1,758,038","1,330,448",33,37,"3,085.2",
16820,"Charlottesville, VA",Metropolitan Statistical Area,"201,559","174,021",209,215,"1,644.0",
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,"528,143","476,531",97,94,"2,089.0",
16940,"Cheyenne, WY",Metropolitan Statistical Area,"91,738","81,607",354,356,"2,685.9",
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Metropolitan Statistical Area,"9,461,105","9,098,316",3,3,"7,196.8",
17020,"Chico, CA",Metropolitan Statistical Area,"220,000","203,171",195,190,"1,636.5",
17140,"Cincinnati-Middletown, OH-KY-IN",Metropolitan Statistical Area,"2,130,151","2,009,632",27,24,"4,391.9",
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,"273,949","232,000",168,176,"2,157.4",
17420,"Cleveland, TN",Metropolitan Statistical Area,"115,788","104,015",319,326,763.4,
17460,"Cleveland-Elyria-Mentor, OH",Metropolitan Statistical Area,"2,077,240","2,148,143",28,23,"1,997.3",
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,"138,494","108,685",279,316,"1,244.1",
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,"228,660","184,885",192,204,"2,100.2",
17820,"Colorado Springs, CO",Metropolitan Statistical Area,"645,613","537,484",82,86,"2,683.9",
17860,"Columbia, MO",Metropolitan Statistical Area,"172,786","145,666",232,251,"1,149.3",
17900,"Columbia, SC",Metropolitan Statistical Area,"767,598","647,158",70,73,"3,702.7",
17980,"Columbus, GA-AL",Metropolitan Statistical Area,"294,865","281,768",159,154,"1,936.1",
18020,"Columbus, IN",Metropolitan Statistical Area,"76,794","71,435",363,362,406.9,
18140,"Columbus, OH",Metropolitan Statistical Area,"1,836,536","1,612,694",32,31,"3,967.2",
18580,"Corpus Christi, TX",Metropolitan Statistical Area,"428,185","403,280",114,111,"1,784.0",
18700,"Corvallis, OR",Metropolitan Statistical Area,"85,579","78,153",358,360,675.9,
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,"180,822","170,498",225,217,930.2,
19060,"Cumberland, MD-WV",Metropolitan Statistical Area,"103,299","102,008",339,334,752.0,
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,"6,371,773","5,161,544",4,5,"8,927.5",
19140,"Dalton, GA",Metropolitan Statistical Area,"142,227","120,031",275,290,634.9,
19180,"Danville, IL",Metropolitan Statistical Area,"81,625","83,919",359,353,898.4,
19260,"Danville, VA",Metropolitan Statistical Area,"106,561","110,156",336,311,"1,011.9",
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"379,690","376,019",134,121,"2,269.9",
19380,"Dayton, OH",Metropolitan Statistical Area,"841,502","848,153",61,54,"1,706.0",
19460,"Decatur, AL",Metropolitan Statistical Area,"153,829","145,867",258,250,"1,270.0",
19500,"Decatur, IL",Metropolitan Statistical Area,"110,768","114,706",330,299,580.7,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"494,593","443,343",103,101,"1,101.0",
19740,"Denver-Aurora-Broomfield, CO",Metropolitan Statistical Area,"2,543,482","2,179,240",21,22,"8,346.1",
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"569,633","481,394",88,93,"2,883.7",
19820,"Detroit-Warren-Livonia, MI",Metropolitan Statistical Area,"4,296,250","4,452,557",12,9,"3,888.4",
20020,"Dothan, AL",Metropolitan Statistical Area,"145,639","130,861",270,271,"1,716.0",
20100,"Dover, DE",Metropolitan Statistical Area,"162,310","126,697",242,279,586.2,
20220,"Dubuque, IA",Metropolitan Statistical Area,"93,653","89,143",353,350,608.3,
20260,"Duluth, MN-WI",Metropolitan Statistical Area,"279,771","275,486",165,156,"8,412.9",
20500,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"504,357","426,493",102,105,"1,758.4",
20740,"Eau Claire, WI",Metropolitan Statistical Area,"161,151","148,337",245,246,"1,646.4",
20940,"El Centro, CA",Metropolitan Statistical Area,"174,528","142,361",231,258,"4,176.6",
